variable,count,mean,median,mode,std,var,min,q1,q2,q3,max,iqr,skew,kurtosis
eu_sales,16598,0.1466520062658152,0.02,0.0,0.5053512312869116,0.2553798669631976,0.0,0.0,0.02,0.11,29.02,0.11,18.87553510053804,756.0277957655502
global_sales,16598,0.5374406555006629,0.17,0.02,1.5550279355699126,2.418111880402824,0.01,0.06,0.17,0.47,82.74,0.41,17.40064509755244,603.932346159593
jp_sales,16598,0.07778166044101699,0.0,0.0,0.30929064808220297,0.09566070499110912,0.0,0.0,0.0,0.04,10.22,0.04,11.206458372215545,194.2339936614047
na_sales,16598,0.26466742981082064,0.08,0.0,0.8166830292988796,0.6669711703447947,0.0,0.0,0.08,0.24,41.49,0.24,18.799627403792297,649.1302677259324
other_sales,16598,0.0480630196409206,0.01,0.0,0.1885884029127146,0.035565585713168375,0.0,0.0,0.01,0.04,10.57,0.04,24.233922531429613,1025.348144501118
rank,16598,8300.605253645017,8300.5,1.0,4791.853932896403,22961864.11421473,1.0,4151.25,8300.5,12449.75,16600.0,8298.5,6.649716845081678e-05,-1.1998648634001308
year,16327,2006.4064433147546,2007.0,2009.0,5.828981114712804,33.97702083567853,1980.0,2003.0,2007.0,2010.0,2020.0,7.0,-1.0025604946213476,1.8481805519965606
